lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
mangohud 0.8.4-1
manifold 3.4.1-1
materia-gtk-theme 20210322-4
materia-kde 20220823-4
materialx 1.39.4-5
maven 3.9.16-1
mbedtls 3.6.5-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.1-2
mesa-utils 9.0.0-7
meson 1.11.1-3
mimalloc 3.3.2-1
miniupnpc 2.3.3-3
minizip 1:1.3.2-3
minizip-ng 4.2.1-1
mjpegtools 2.2.1-4
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mlt 7.38.0-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfi 1.5.4-5
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtpfs 1.1-5
mujs 1.3.9-1
multipath-tools 0.14.3-1
muparser 2.3.5-2
nanobind 2.12.0-3
nanomsg 1.2.2-1
ncurses 6.6-2
ndctl 84-1
neatvnc 0.9.5-3
neon 0.37.1-1
neovim 0.12.2-1
net-snmp 5.9.5.2-1
net-tools 2.10-3
nethogs 0.8.8-2
netpbm 10.86.49-3
netstandard-targeting-pack 1:2.1.0-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nload 0.7.4-9
nlopt 2.10.1-1
nm-connection-editor 1.36.0-2
node-gyp 12.3.0-1
nodejs 26.2.0-1
nodejs-nopt 10.0.0-1
noto-fonts 1:2026.05.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
